Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
France,2010,1527.9509,10.77872,0.33720416,,50424.957,0.985,0.88,81.4047,3.9,78.369,9.279
France,2011,1534.6066,10.85154,0.3329475,,51405.387,0.986,0.884,81.781,3.6,78.622,9.228
France,2012,1528.8926,10.9351,0.3311486,,51251.375,0.985,0.885,81.739,3.7,78.878,9.841
France,2013,1513.8743,11.08079,0.32512552,,51385.727,0.985,0.888,81.9786,3.6,79.135,9.913
France,2014,1508.9885,11.2255,0.32262158,,51652.617,0.986,0.892,82.4366,3.6,79.394,10.273
France,2015,1509.4127,11.33419,0.32704228,,52018.332,0.986,0.893,82.1487,3.6,79.655,10.354
France,2016,1502.7285,11.35086,0.31923512,,52327.45,0.985,0.896,82.4008,3.5,79.917,10.057
France,2017,1514.1371,11.4097,0.3163205,,53262.957,0.986,0.899,82.4385,3.5,80.18,9.41
Germany,2010,1389.8829,13.85178,0.30218413,,55233.316,0.949,0.929,80.0814,4.7,76.966,6.967
Germany,2011,1392.8134,13.93055,0.30610505,,58381.22,0.95,0.935,80.3549,4.6,77.16,5.825
Germany,2012,1375.0267,13.97772,0.3105579,,58548.1,0.95,0.937,80.5017,4.8,77.17,5.379
Germany,2013,1362.6976,14.00985,0.31453598,,58614.05,0.952,0.938,80.454,4.6,77.18,5.231
Germany,2014,1367.0791,14.03712,0.30847794,,59636.555,0.952,0.942,80.9056,4.8,77.19,4.981
Germany,2015,1368.1069,14.08202,0.31653914,,60099.637,0.954,0.941,80.5658,4.9,77.2,4.624
Germany,2016,1358.5865,14.13215,0.3141309,,60984.477,0.959,0.941,80.8371,5.0,77.224,4.122
Germany,2017,1353.8868,14.104765,0.31314865,,62407.164,0.959,0.944,80.9371,4.9,77.261,3.746
Greece,2010,2019.5708,10.20827,0.3409893,,37618.684,0.969,0.874,80.5727,5.1,76.292,12.719
Greece,2011,2037.7003,10.305198,0.3484217,,33953.367,0.97,0.871,80.6248,5.0,76.649,17.973
Greece,2012,2055.374,10.402124,0.362504,,31293.428,0.97,0.87,80.4221,4.5,77.004,24.731
Greece,2013,2059.22,10.499052,0.36127293,,30804.97,0.969,0.874,81.067,4.7,77.355,27.686
Greece,2014,2020.8816,10.59598,0.35804707,,31256.527,0.971,0.879,81.1203,4.9,77.702,26.708
Greece,2015,2031.1405,10.74371,0.35996962,,31391.312,0.974,0.881,80.7894,5.0,78.046,24.981
Greece,2016,2030.0905,10.2543,0.34956136,,31512.123,0.971,0.877,81.2692,4.6,78.387,23.514
Greece,2017,2016.8954,10.542858,0.34350377,,32039.643,0.971,0.88,80.9614,4.7,78.724,21.414
Hungary,2010,1956.1836,11.88173,0.2944413,,28156.037,0.992,0.829,74.5189,3.6,68.911,11.172
Hungary,2011,1948.6782,11.92125,0.29157948,,28763.053,0.988,0.833,74.9226,3.6,69.358,11.029
Hungary,2012,1926.5392,11.839,0.3080265,,28550.514,0.987,0.833,75.1826,3.6,69.678,11.003
Hungary,2013,1920.5334,12.00896,0.31504104,,29145.291,0.988,0.843,75.6827,3.7,69.953,10.177
Hungary,2014,1928.3038,11.77344,0.3091348,,30460.725,0.985,0.84,75.8493,3.9,70.227,7.725
Hungary,2015,1923.7209,11.84779,0.30407295,,31665.229,0.983,0.839,75.6536,4.7,70.5,6.813
Hungary,2016,1937.3325,11.88941,0.30324444,,32457.826,0.984,0.843,76.1569,5.3,70.779,5.115
Hungary,2017,1937.3325,11.979455,0.30582693,,33934.516,0.983,0.846,76.007,5.2,71.062,4.156
Iceland,2010,1542.5016,12.921545,0.26171294,,54847.63,0.983,0.927,81.5939,4.9,93.574,7.564
Iceland,2011,1548.2521,13.01108,0.26830265,,55689.62,0.976,0.933,81.9725,4.6,93.587,7.028
Iceland,2012,1523.7321,13.100615,0.26769423,,55983.273,0.97,0.938,82.3459,4.6,93.6,6.0
Iceland,2013,1521.8097,13.19015,0.25402915,,57980.855,0.973,0.942,81.7425,4.4,93.633,5.376
Iceland,2014,1509.6294,13.279685,0.27800417,,58306.83,0.974,0.946,82.4298,4.1,93.667,4.897
Iceland,2015,1509.1685,13.36922,0.26787972,,60262.523,0.971,0.948,82.1638,4.6,93.7,3.979
Iceland,2016,1493.3651,13.458755,0.27241105,,63178.207,0.977,0.951,81.8286,4.9,93.735,2.978
Iceland,2017,1493.3651,13.54829,0.2613158,,64302.406,0.976,0.955,82.241,5.8,93.773,2.742
Ireland,2010,1801.2773,11.56933,0.32295024,,58986.598,0.972,0.908,80.5992,4.5,61.542,14.534
Ireland,2011,1702.1769,10.99996,0.32872406,,59698.258,0.97,0.906,80.7272,4.3,61.742,15.354
Ireland,2012,1707.4982,11.072331,0.33220077,,59208.66,0.972,0.907,80.8524,4.5,61.942,15.451
Ireland,2013,1719.5591,11.144703,0.3348598,,60188.855,0.97,0.911,81.065,4.5,62.141,13.735
Ireland,2014,1731.0465,11.217074,0.31874627,,65328.8,0.969,0.918,81.4063,4.7,62.34,11.858
Ireland,2015,1740.5286,11.289447,0.31820488,,80644.28,0.968,0.924,81.5326,4.7,62.538,9.908
